date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:06:52	164156/164156	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe29c-2813c%22	https://htmldemo.net/airi/airi/product-details.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/product-details.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:52	160070/160070	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe292-27146%22	https://htmldemo.net/airi/airi/product-details-02.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/product-details-02.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:52	154482/154482	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe29b-25b72%22	https://htmldemo.net/airi/airi/product-details-sticky.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/product-details-sticky.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:53	158555/158555	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe296-26b5b%22	https://htmldemo.net/airi/airi/product-details-gallery.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/product-details-gallery.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:53	177941/177941	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe29a-2b715%22	https://htmldemo.net/airi/airi/product-details-sidebar.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/product-details-sidebar.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:53	163456/163456	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe297-27e80%22	https://htmldemo.net/airi/airi/product-details-grouped.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/product-details-grouped.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:53	159611/159611	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe293-26f7b%22	https://htmldemo.net/airi/airi/product-details-affiliate.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/product-details-affiliate.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:53	151211/151211	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe295-24eab%22	https://htmldemo.net/airi/airi/product-details-configurable.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/product-details-configurable.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:54	113055/113055	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe28d-1b99f%22	https://htmldemo.net/airi/airi/my-account.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/my-account.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:54	122711/122711	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe240-1df57%22	https://htmldemo.net/airi/airi/cart.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/cart.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:54	129758/129758	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe242-1fade%22	https://htmldemo.net/airi/airi/checkout.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/checkout.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:54	98626/98626	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe291-18142%22	https://htmldemo.net/airi/airi/order-tracking.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/order-tracking.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:54	104290/104290	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe245-19762%22	https://htmldemo.net/airi/airi/compare.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/compare.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:55	126239/126239	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe235-1ed1f%22	https://htmldemo.net/airi/airi/about-us.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/about-us.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:55	122568/122568	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe241-1dec8%22	https://htmldemo.net/airi/airi/blog.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/blog.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:55	111684/111684	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe237-1b444%22	https://htmldemo.net/airi/airi/blog-02-columns.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/blog-02-columns.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:55	113488/113488	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe239-1bb50%22	https://htmldemo.net/airi/airi/blog-03-columns.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/blog-03-columns.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:56	113442/113442	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe23d-1bb22%22	https://htmldemo.net/airi/airi/blog-standard.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/blog-standard.html	(from https://htmldemo.net/airi/airi/index-22.html)
